0	red-interior
1	red-interior
2	red-interior
3	red-interior
4	red-interior
5	red-interior
6	red-interior
7	red-interior
8	red-interior
9	red-interior
10	red-interior
11	red-interior
12	blue-interior
13	blue-interior
14	blue-interior
15	blue-interior
16	blue-interior
17	blue-interior
18	blue-interior
19	blue-interior
20	blue-interior
21	blue-interior
22	blue-interior
23	blue-interior
24	blue-interior
25	blue-interior
26	blue-interior
27	blue-interior
28	blue-interior
29	blue-interior
30	blue-interior
31	blue-interior
32	blue-interior
33	blue-interior
34	blue-interior
35	blue-interior
36	blue-interior
37	blue-interior
38	blue-interior
39	blue-interior
40	blue-interior
41	blue-interior
42	blue-interior
43	blue-interior
44	blue-interior
45	blue-interior
46	blue-interior
47	blue-interior
48	blue-interior
49	blue-interior
50	blue-interior
51	blue-interior
52	blue-interior
53	blue-interior
54	blue-interior
55	blue-interior
56	blue-interior
57	blue-interior
58	blue-interior
59	blue-interior
60	blue-interior
61	blue-interior
62	blue-interior
63	blue-interior
64	blue-interior
65	blue-interior
66	blue-interior
67	blue-interior
68	blue-interior
69	blue-interior
70	blue-interior
71	blue-interior
72	blue-interior
73	blue-interior
74	blue-interior
75	blue-interior
76	blue-interior
77	blue-interior
78	blue-interior
79	blue-interior
80	blue-interior
81	blue-interior
82	blue-interior
83	blue-interior